,User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
0,"Чехол хороший, на все телефоны обычно покупаю именно такой чехол. Гибкий, не ""кусается"".
Относительно желтизны, не знаю как этот, но прошлый (другого продавца) пожелтел спустя пару месяцев. Посмотрим как быстро этот пожелтеет) Но за такую стоимость, меня это не напрягает)",2025-01-22,5,272,1,0,0
1,"подошёл,хороший",2025-03-03,5,15,0,0,0
2,"хороший чехол, никаких нареканий",2025-03-03,5,32,0,0,0
3,👍,2025-03-01,5,1,0,0,0
4,Ну нормально дефектов нет,2025-02-26,5,25,0,0,0
5,"все отлично, соответствие товара",2025-02-26,5,32,1,0,0
6,"Отличный чехол,все кнопки совпадают)",2025-02-25,5,36,0,0,0
7,"хороший, к телефону подошёл 👍",2025-02-25,5,29,0,0,0
8,"Спасибо за адекватную и приятную стоимость, сложно было подобрать качественный бампер, то хлипкий то толстоват, то болтается, этот сел как родной и не утолщает телефон",2025-02-23,5,167,0,0,0
9,Понравился,2025-02-22,5,10,0,0,0
10,толстоват,2025-02-19,3,9,0,0,0
11,"не закрывает камеру так как хотелось с краями , но выкупила на первое время",2025-02-17,5,75,0,0,0
12,"Все как в описании, все норм.",2025-02-15,5,29,0,0,0
13,Идеально подошло на айфон 16 про мах. Претензий нет.,2025-02-13,5,52,0,0,0
14,Чехол аккуратный. Смотрится отлично. Рекомендую!!!,2025-02-12,5,50,0,0,0
15,🤙,2025-02-08,5,1,0,0,0
16,цена качество. рекомендую,2025-02-05,5,25,0,0,0
17,Идеально подошел,2025-02-05,5,16,0,0,0
18,"Хороший
🎉🎉🎉🎉 спасибо",2025-02-02,5,20,0,0,0
19,"Прислали чехол на 16, вместо 16 про
Оценить качество не имела возможности.",2025-01-30,1,74,0,0,0
20,Сел как литой рекомендую,2025-01-29,5,24,1,0,0
21,Удобный,2025-01-28,5,7,0,0,0
22,"Хороший, плотно облегающий телефон чехол. Единственный минус: постоянно приходится протирать его, так как сильно видны отпечатки пальцев (в целом, это «прелесть» всех прозрачных кейсов). За свою цену супер",2025-01-27,5,205,0,0,0
23,Супер!,2025-01-22,5,6,0,0,0
24,"Защита и прилегание хорошее, но толстоват для меня",2025-01-19,5,50,0,0,0
25,Чехол подошёл идеально на 16pro. В руках не скользит. Рекомендую,2025-01-16,5,64,1,0,0
26,"Обычный чехол, подходит.",2025-01-15,5,24,0,0,0
27,Подходит на 16 про.,2025-01-14,5,19,1,0,0
28,👍,2025-01-13,5,1,0,0,0
29,Отличный,2025-01-12,5,8,0,0,0
30,Нормально,2025-01-12,5,9,0,0,0
