,User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
0,"Хороший обычный прозрачный чехол.
Если у вас на 15 про стоит на линзах защитка, то лучше берите со свободным вырезом под камеры, а не с закрытым силиконом блоком, иначе могут просто камеры не пролезть (как в моем случае и было), и из-за этого он выступает немного, и выглядит не очень эстетично, а так чехол своих денег стоит. Пришел быстро👍",2025-01-28,5,341,0,1,0
1,Ну нормально дефектов нет,2025-02-26,5,25,0,1,0
2,"все отлично, соответствие товара",2025-02-26,5,32,1,1,0
3,"Отличный чехол,все кнопки совпадают)",2025-02-25,5,36,0,1,0
4,"хороший, к телефону подошёл 👍",2025-02-25,5,29,0,1,0
5,"Отличный чехол, хорошо сел на телефон",2025-02-23,5,37,0,1,0
6,"Хороший, но иногда выскальзывает из рук",2025-02-23,5,39,0,1,0
7,Отлично беру не первый раз,2025-02-21,5,26,0,1,0
8,Хороший чехол,2025-02-18,5,13,0,1,0
9,"не закрывает камеру так как хотелось с краями , но выкупила на первое время",2025-02-17,5,75,0,1,0
10,"Все как в описании, все норм.",2025-02-15,5,29,0,1,0
11,Идеально подошло на айфон 16 про мах. Претензий нет.,2025-02-13,5,52,0,1,0
12,Чехол аккуратный. Смотрится отлично. Рекомендую!!!,2025-02-12,5,50,0,1,0
13,🤙,2025-02-08,5,1,0,1,0
14,Кривоват…,2025-02-06,3,9,0,1,0
15,"желтит быстро , в целом за свою цену сойдет",2025-02-05,3,43,0,1,0
16,"Отличный чехол, все как заявлено",2025-02-02,5,32,0,1,0
17,Идеал,2025-01-30,5,5,0,1,0
18,Обдирает края защитного стекла из-за маленьких бортиков чехла.,2025-01-29,1,62,0,1,0
19,Совсем не защищает камеру,2025-01-29,3,25,1,1,0
20,Простой чехол из качественных материалов. Закажу еще один.,2025-01-28,5,58,0,1,0
21,За такую цену норм,2025-01-26,4,18,0,1,0
22,"Чехол хороший, на все телефоны обычно покупаю именно такой чехол. Гибкий, не ""кусается"".
Относительно желтизны, не знаю как этот, но прошлый (другого продавца) пожелтел спустя пару месяцев. Посмотрим как быстро этот пожелтеет) Но за такую стоимость, меня это не напрягает)",2025-01-22,5,272,0,1,0
23,"Чехол хороший. Держится , не спадает, легко снимается и надевается.",2025-01-20,5,67,0,1,0
24,"Отличный чехол, сел идеально даже на камеру с протекторами. Лайк",2025-01-18,5,64,1,1,0
25,"Идеально сел, не желтит",2025-01-15,5,23,0,1,0
26,Все согласно описанию),2025-01-15,5,22,0,1,0
27,"Классный, тактильно приятный чехол, сел плотно, мне понравился! Лишь бы не пожелтел быстро)",2025-01-14,5,91,1,1,0
28,👍,2025-01-13,5,1,0,1,0
29,Отличный,2025-01-12,5,8,0,1,0
30,Нормально,2025-01-12,5,9,0,1,0
