,Unnamed: 0,User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
0,0.0,"['достоинство', 'устроить', 'нормальный', 'демисезонка']",2024-10-09,5,54,0,0,0
1,1.0,"['шикарный', 'начитаться', 'отзыв', 'рискнуть', 'стирка', 'время', 'показать', 'верх', 'покупать', '54', 'размер', '48', 'заказать', 'стать', 'взять', '50.спасибо', 'очень', 'понравиться']",2024-10-09,5,195,0,0,0
2,2.0,"['дочка', 'понравиться']",2024-10-09,5,17,0,0,0
3,3.0,"['пока', 'одевать', 'хотеть']",2024-10-09,5,33,0,0,0
4,4.0,"['отличный', 'куртка']",2024-10-09,5,15,0,0,0
5,5.0,"['лёгкий', 'тёплый', 'супер', '👍']",2024-10-08,5,24,0,0,0
6,6.0,"['куртка', 'очень', 'большемерить', 'зима', 'оформить', 'возврат', '52', 'заказать', '48', 'сезон', 'тёплый', 'ноябрь', 'март']",2024-10-08,2,98,0,0,0
7,7.0,"['классный', 'куртка', 'рекомендовать']",2024-10-08,5,26,0,0,0
8,8.0,"['неплохой', 'куртка', 'посмотреть', 'стирка', 'в', 'целое', 'довольный', 'покупка', 'рекомендовать']",2024-10-08,5,83,0,0,0
9,9.0,"['куртка', 'очень', 'понравиться', 'строчка', 'ровный', 'торчать', 'всё', 'карман', 'удобный', 'сделать', 'немного', 'выше', 'прийтись', 'привыкнуть', 'очень', 'понравиться', 'молния', 'закрываться', 'пуговица', 'единственно', 'нравиться', 'подклад', 'внутри', 'рукав', 'прилипать', 'рука', 'немного', 'вспотеть', 'целое', 'хороший', 'курточка']",2024-10-08,5,323,1,0,0
10,10.0,['очень'],2024-10-08,5,12,0,0,0
11,11.0,"['симпатичный', 'казаться', 'первый', 'стирка', 'очень', 'какой-то', 'хлипкий', 'на', 'рост', '170', 'рукав', 'коротковатый', 'размер', 'размер']",2024-10-08,3,118,0,0,0
12,12.0,"['хороший', 'куртка', 'пошить']",2024-10-08,5,30,0,0,0
13,13.0,"['село', 'отлично', 'не', 'знать', 'процесс', 'носка', 'но', 'новый', 'супер']",2024-10-08,5,65,0,0,0
14,14.0,"['куртка', 'огонь👍']",2024-10-07,5,13,0,0,0
15,15.0,"['курутаить', 'балдеть', 'продувать', 'ветер', '5', 'в', 'транспорт', 'жарко']",2024-10-07,5,74,0,0,0
16,16.0,['достоинство'],2024-10-07,5,20,0,0,0
17,17.0,"['очень', 'понравиться', 'куртка', 'стильный', 'хороший', 'качество', 'цвет', 'супер', 'тёплый']",2024-10-07,5,83,0,0,0
18,18.0,"['хороший', 'тёплый']",2024-10-07,5,15,0,0,0
19,19.0,"['хороший', 'тёплый', 'курточка']",2024-10-07,5,24,0,0,0
20,20.0,"['офигенный', 'на', 'холодный', 'осенний', 'погода', 'самый', 'попасть', 'дождь-ич', 'промокнуть', 'капельку']",2024-10-06,5,101,0,0,0
21,21.0,['норма'],2024-10-06,5,4,0,0,0
22,22.0,"['куртка', 'хороший', 'лёгкий', 'тёплый', 'зима']",2024-10-06,4,38,0,0,0
23,23.0,"['куртка', 'понравиться', 'пошить']",2024-10-06,5,33,0,0,0
24,24.0,"['куртка', 'выглядеть', 'отлично', '52-', '54', 'подойти', 'идеально', '50', 'размер', 'а', 'дальнейший', 'посмотреть']",2024-10-06,5,109,0,0,0
25,25.0,"['классный', 'курточка', '👍']",2024-10-05,5,19,0,0,0
26,26.0,"['хороший', 'курточка', 'очень', 'лёгкий', 'я', 'обновить', 'тепло', 'уютный', 'на', 'свой', '52-ой', 'взять', '50-й', 'размер', 'толстый', 'свитер', 'легко', 'пододеться']",2024-10-05,5,138,1,0,0
27,27.0,"['неплохой', 'куртка', 'зима', 'речь', 'осень', 'плюсовой', 'температура', 'тонкий', 'не', 'очень', 'удачный', 'низ', 'куртка', 'постоянно', 'приходиться', 'одёргивать', 'задираться', 'сзади', 'удачный', 'капюшон', 'удобный', 'красиво', 'сидеть']",2024-10-05,4,234,0,0,0
28,28.0,"['на', 'свой', '52р', 'взять', '50', 'свободно', 'с', 'джемпер', 'очень', 'тепло', 'немного', 'прикрывать', 'поп', 'рекомендовать', 'спасибо', 'продавец']",2024-10-04,5,118,0,0,0
29,29.0,"['офигенный', 'куртка', 'взять', 'размер', 'сам', 'дело', 'специально', 'поддеть', 'что-нибудь', 'вниз', 'но', 'это', 'необязательно', 'куртка', 'размер', 'позволить', 'думать', 'что-то', 'поддеть', 'вниз', 'много', 'кармашек', 'любить']",2024-10-04,5,239,0,0,0
30,30.0,"['отличный', 'курточка', 'и', 'цвет', 'приятный', 'фасон', 'удачный', 'качество', 'супер', 'спасибо', 'продавец']",2024-10-04,5,90,0,0,0
31,31.0,"['отлично', 'цвет', 'небесный', 'заказать', 'размер']",2024-10-04,5,46,0,0,0
32,32.0,"['куртка', 'сидеть', 'фигура', 'отлично', 'р50', 'отлично', 'подойти', 'расти', '54', 'стильный', 'тёплый', 'посмотреть', 'носка']",2024-10-04,5,109,0,0,0
33,33.0,"['цвет', 'фото', 'передавать', 'настоящий', 'цвет', 'очень', 'нежный', 'красивый', 'ткань', 'лёгкий', 'приятный', 'подойти', 'осень', 'тёплый', 'зима']",2024-10-03,5,128,1,0,0
