Unnamed: 0,User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
0.0,"Достоинства
       все устроило нормальная демисезонка",2024-10-09,5,54,0,0,0
1.0,"Шикарная, начиталась отзывы, но рискнула, что будет после стирки, время покажет, я верх всегда покупаю 54 размер, но эту можно было и 48 заказать, но не стала, взяла 50.Спасибо, очень понравилась",2024-10-09,5,195,0,0,0
2.0,Дочке понравилась,2024-10-09,5,17,0,0,0
3.0,"Пока не одевала ,но то что хотела",2024-10-09,5,33,0,0,0
4.0,Отличная куртка,2024-10-09,5,15,0,0,0
5.0,"Легкая, теплая , супер 👍",2024-10-08,5,24,0,0,0
6.0,"Куртка очень большемерит ,не зима, оформила возврат на 52 заказала 48. Сезон тёплый ноябрь , март.",2024-10-08,2,98,0,0,0
7.0,Классная куртка рекомендую,2024-10-08,5,26,0,0,0
8.0,"Неплохая куртка, посмотрим как после стирки. В целом довольна покупкой, рекомендую.",2024-10-08,5,83,0,0,0
9.0,"куртка очень понравилась, все строчки ровные, ничего не торчит, всё как надо. карманы тоже удобные, но сделаны немного выше, пришлось привыкнуть. очень понравилось, что молния закрывается пуговицами. Единственно, не нравится подклад внутри рукавов, прилипает к рукам, как только немного вспотеешь. в целом хорошая курточка.",2024-10-08,5,323,1,0,0
10.0,Очень хорошо,2024-10-08,5,12,0,0,0
11.0,"Симпатичная, но мне кажется, до первой стирки. Очень какая-то хлипкая. На рост 170 рукава коротковаты, размер в размер",2024-10-08,3,118,0,0,0
12.0,хорошая куртка и хорошо пошита,2024-10-08,5,30,0,0,0
13.0,"Села отлично,,не знаю как будет в процессе носки,,но новая, супер",2024-10-08,5,65,0,0,0
14.0,Куртка огонь👍,2024-10-07,5,13,0,0,0
15.0,"Курутая, балдею в ней. Продувает при ветре, до - 5. В транспорте не жарко.",2024-10-07,5,74,0,0,0
16.0,"Достоинства
       .",2024-10-07,5,20,0,0,0
17.0,"очень понравилась куртка,стильная , хорошее качество,цвет супер,теплая то что надо!",2024-10-07,5,83,0,0,0
18.0,"Хорошая, тёплая",2024-10-07,5,15,0,0,0
19.0,"Хорошая, тёплая курточка",2024-10-07,5,24,0,0,0
20.0,Офигенная! На не холодную осеннюю погоду самое то! Попала в ней под дождь-не промокла ни на капельку!,2024-10-06,5,101,0,0,0
21.0,Норм,2024-10-06,5,4,0,0,0
22.0,"Куртка хорошая, легкая, на теплую зиму",2024-10-06,4,38,0,0,0
23.0,"куртка понравилась,пошита хорошо.",2024-10-06,5,33,0,0,0
