,User review,Review date,Star review,Has media,Written by bot
0,"[""\u0434\u043e\u0441\u0442\u043e\u0438\u043d\u0441\u0442\u0432\u043e"", ""\u0432\u0441\u0451"", ""\u0443\u0441\u0442\u0440\u043e\u0438\u0442\u044c"", ""\u043d\u043e\u0440\u043c\u0430\u043b\u044c\u043d\u044b\u0439"", ""\u0434\u0435\u043c\u0438\u0441\u0435\u0437\u043e\u043d\u043a\u0430""]",2024-10-09,5,0,0
1,"[""\u0448\u0438\u043a\u0430\u0440\u043d\u044b\u0439"", ""\u043d\u0430\u0447\u0438\u0442\u0430\u0442\u044c\u0441\u044f"", ""\u043e\u0442\u0437\u044b\u0432"", ""\u0440\u0438\u0441\u043a\u043d\u0443\u0442\u044c"", ""\u0447\u0442\u043e"", ""\u0431\u044b\u0442\u044c"", ""\u043f\u043e\u0441\u043b\u0435"", ""\u0441\u0442\u0438\u0440\u043a\u0430"", ""\u0432\u0440\u0435\u043c\u044f"", ""\u043f\u043e\u043a\u0430\u0437\u0430\u0442\u044c"", ""\u0432\u0435\u0440\u0445"", ""\u043f\u043e\u043a\u0443\u043f\u0430\u0442\u044c"", ""54"", ""\u0440\u0430\u0437\u043c\u0435\u0440"", ""\u044d\u0442\u043e\u0442"", ""\u0431\u044b\u0442\u044c"", ""\u0438"", ""48"", ""\u0437\u0430\u043a\u0430\u0437\u0430\u0442\u044c"", ""\u043d\u0435"", ""\u0441\u0442\u0430\u0442\u044c"", ""\u0432\u0437\u044f\u0442\u044c"", ""50.\u0441\u043f\u0430\u0441\u0438\u0431\u043e"", ""\u043e\u0447\u0435\u043d\u044c"", ""\u043f\u043e\u043d\u0440\u0430\u0432\u0438\u0442\u044c\u0441\u044f""]",2024-10-09,5,0,0
2,"[""\u0434\u043e\u0447\u043a\u0430"", ""\u043f\u043e\u043d\u0440\u0430\u0432\u0438\u0442\u044c\u0441\u044f""]",2024-10-09,5,0,0
3,"[""\u043f\u043e\u043a\u0430"", ""\u043d\u0435"", ""\u043e\u0434\u0435\u0432\u0430\u0442\u044c"", ""\u0442\u043e"", ""\u0447\u0442\u043e"", ""\u0445\u043e\u0442\u0435\u0442\u044c""]",2024-10-09,5,0,0
4,"[""\u043e\u0442\u043b\u0438\u0447\u043d\u044b\u0439"", ""\u043a\u0443\u0440\u0442\u043a\u0430""]",2024-10-09,5,0,0
5,"[""\u043b\u0451\u0433\u043a\u0438\u0439"", ""\u0442\u0451\u043f\u043b\u044b\u0439"", ""\u0441\u0443\u043f\u0435\u0440"", ""\ud83d\udc4d""]",2024-10-08,5,0,0
6,"[""\u043a\u0443\u0440\u0442\u043a\u0430"", ""\u043e\u0447\u0435\u043d\u044c"", ""\u0431\u043e\u043b\u044c\u0448\u0435\u043c\u0435\u0440\u0438\u0442\u044c"", ""\u043d\u0435"", ""\u0437\u0438\u043c\u0430"", ""\u043e\u0444\u043e\u0440\u043c\u0438\u0442\u044c"", ""\u0432\u043e\u0437\u0432\u0440\u0430\u0442"", ""52"", ""\u0437\u0430\u043a\u0430\u0437\u0430\u0442\u044c"", ""48."", ""\u0441\u0435\u0437\u043e\u043d"", ""\u0442\u0451\u043f\u043b\u044b\u0439"", ""\u043d\u043e\u044f\u0431\u0440\u044c"", ""\u043c\u0430\u0440\u0442""]",2024-10-08,2,0,0
7,"[""\u043a\u043b\u0430\u0441\u0441\u043d\u044b\u0439"", ""\u043a\u0443\u0440\u0442\u043a\u0430"", ""\u0440\u0435\u043a\u043e\u043c\u0435\u043d\u0434\u043e\u0432\u0430\u0442\u044c""]",2024-10-08,5,0,0
8,"[""\u043d\u0435\u043f\u043b\u043e\u0445\u043e\u0439"", ""\u043a\u0443\u0440\u0442\u043a\u0430"", ""\u043f\u043e\u0441\u043c\u043e\u0442\u0440\u0435\u0442\u044c"", ""\u043a\u0430\u043a"", ""\u043f\u043e\u0441\u043b\u0435"", ""\u0441\u0442\u0438\u0440\u043a\u0430"", ""\u0446\u0435\u043b\u043e\u0435"", ""\u0434\u043e\u0432\u043e\u043b\u044c\u043d\u044b\u0439"", ""\u043f\u043e\u043a\u0443\u043f\u043a\u0430"", ""\u0440\u0435\u043a\u043e\u043c\u0435\u043d\u0434\u043e\u0432\u0430\u0442\u044c""]",2024-10-08,5,0,0
9,"[""\u043a\u0443\u0440\u0442\u043a\u0430"", ""\u043e\u0447\u0435\u043d\u044c"", ""\u043f\u043e\u043d\u0440\u0430\u0432\u0438\u0442\u044c\u0441\u044f"", ""\u0432\u0441\u0451"", ""\u0441\u0442\u0440\u043e\u0447\u043a\u0430"", ""\u0440\u043e\u0432\u043d\u044b\u0439"", ""\u043d\u0435"", ""\u0442\u043e\u0440\u0447\u0430\u0442\u044c"", ""\u0432\u0441\u0451"", ""\u043a\u0430\u043a"", ""\u043a\u0430\u0440\u043c\u0430\u043d"", ""\u0442\u043e\u0436\u0435"", ""\u0443\u0434\u043e\u0431\u043d\u044b\u0439"", ""\u0441\u0434\u0435\u043b\u0430\u0442\u044c"", ""\u043d\u0435\u043c\u043d\u043e\u0433\u043e"", ""\u0432\u044b\u0448\u0435"", ""\u043f\u0440\u0438\u0439\u0442\u0438\u0441\u044c"", ""\u043f\u0440\u0438\u0432\u044b\u043a\u043d\u0443\u0442\u044c"", ""\u043e\u0447\u0435\u043d\u044c"", ""\u043f\u043e\u043d\u0440\u0430\u0432\u0438\u0442\u044c\u0441\u044f"", ""\u0447\u0442\u043e"", ""\u043c\u043e\u043b\u043d\u0438\u044f"", ""\u0437\u0430\u043a\u0440\u044b\u0432\u0430\u0442\u044c\u0441\u044f"", ""\u043f\u0443\u0433\u043e\u0432\u0438\u0446\u0430"", ""\u0435\u0434\u0438\u043d\u0441\u0442\u0432\u0435\u043d\u043d\u043e"", ""\u043d\u0435"", ""\u043d\u0440\u0430\u0432\u0438\u0442\u044c\u0441\u044f"", ""\u043f\u043e\u0434\u043a\u043b\u0430\u0434"", ""\u0432\u043d\u0443\u0442\u0440\u0438"", ""\u0440\u0443\u043a\u0430\u0432"", ""\u043f\u0440\u0438\u043b\u0438\u043f\u0430\u0442\u044c"", ""\u0440\u0443\u043a\u0430"", ""\u043a\u0430\u043a"", ""\u0442\u043e\u043b\u044c\u043a\u043e"", ""\u043d\u0435\u043c\u043d\u043e\u0433\u043e"", ""\u0432\u0441\u043f\u043e\u0442\u0435\u0442\u044c"", ""\u0446\u0435\u043b\u043e\u0435"", ""\u0445\u043e\u0440\u043e\u0448\u0438\u0439"", ""\u043a\u0443\u0440\u0442\u043e\u0447\u043a\u0430""]",2024-10-08,5,1,0
