,Reviews,Summary
0,"['Кроссовки удобные, но быстро порвались.', 'Лёгкие, но скользкие на мокром асфальте.', 'Размер в размер, не натирают.', 'Через месяц начала отклеиваться подошва.', 'Отличные, ношу каждый день!']","Кроссовки удобные и лёгкие, но не очень долговечные. На мокром асфальте могут скользить."
1,"['Телефон быстрый, батарея держит долго.', 'После обновления начал тормозить.', 'Камера отличная днём, ночью так себе.', 'Динамик слабый, звук глухой.', 'За свои деньги топ!']","Телефон хороший за свою цену. Камера хорошая днём, батарея держит долго, но динамик слабый, а после обновлений возможны лаги."
2,"['Чайник красивый, но шумный.', 'Пахнет пластиком даже после недели.', 'Кипятит быстро, но течёт снизу.', 'Крышка тугая, неудобно наливать.', 'Работает нормально, но второй раз не куплю.']","Чайник быстро кипятит воду и выглядит стильно, но шумный, может протекать, а крышка неудобная."
3,"['Качество норм, но после стирки ткань стала жёсткой.', 'Цвет не совпадает с фото, ожидал другого.', 'Размерная сетка странная, пришлось вернуть.', 'Отличная футболка, приятная к телу.', 'Швы кривые, нитки торчат, за такую цену ожидал лучшего.']","Футболка приятная к телу, но могут быть проблемы с качеством ткани, цветом и размером."
4,"['Телефон красивый, но корпус маркий – остаются отпечатки.', 'Производительность хорошая, но быстро нагревается.', 'Батарея слабая, приходится заряжать два раза в день.', 'Камера супер, особенно портретный режим.', 'За свою цену нормальный вариант, но не без минусов.']","Телефон с хорошей камерой и производительностью, но быстро нагревается, батарея слабая, а корпус маркий."
5,"['Рюкзак вместительный, но молния заедает.', 'Ткань качественная, но лямки быстро начали протираться.', 'Носил месяц – всё ок, но карманов маловато.', 'Ожидал, что будет больше, но в целом удобный.', 'После дождя намокает, хотя обещали водостойкость.']","Рюкзак удобный и вместительный, но качество фурнитуры и водостойкость оставляют вопросы."
6,"['Кофемашина варит вкусный кофе, но шумная.', 'Неудобный контейнер для воды, сложно наливать.', 'Через месяц работы начала подтекать.', 'Отличный капучинатор, пенка густая.', 'Инструкция неочевидная, долго разбирался.']","Кофемашина варит хороший кофе, но шумная, может подтекать, а инструкция сложная."
7,"['Часы красивые, но ремешок жёсткий, неудобно носить.', 'Батарея держит всего день, приходится постоянно заряжать.', 'Функции полезные, но шагомер врёт.', 'Синхронизация с телефоном иногда отваливается.', 'Экран яркий, на солнце всё видно.']","Часы стильные и с хорошим экраном, но ремешок неудобный, батарея слабая, а шагомер не всегда точен."
8,"['Кастрюля тяжёлая, но готовить в ней удобно.', 'Эмаль начала облезать через пару недель.', 'Ручки нагреваются, нужен прихват.', 'Пища не пригорает, покрытие хорошее.', 'Дно тонкое, быстро остывает.']","Кастрюля удобная для готовки, но тяжёлая, ручки нагреваются, а эмаль может облезать."
9,"['Наушники классные, но уши устают через час.', 'Бас мощный, но средние частоты слабые.', 'Блютуз соединение иногда пропадает.', 'Дизайн крутой, сидят плотно.', 'Микрофон слабый, собеседник плохо слышит.']","Наушники с хорошим басом и дизайном, но могут давить, блютуз нестабильный, а микрофон слабый."
10,"['Мышка удобная, но колёсико скрипит.', 'Держит заряд долго, это плюс.', 'Чувствительность хорошая, но кнопки тугие.', 'Через три месяца начала залипать кнопка.', 'Форма удобная, рука не устаёт.']","Мышка удобная и держит заряд, но колёсико может скрипеть, а кнопки залипать."
11,"['Книга интересная, но шрифт мелкий.', 'Бумага тонкая, просвечивает текст с другой стороны.', 'Переплёт слабый, страницы начали выпадать.', 'Сюжет захватывающий, читалась на одном дыхании.', 'Перевод местами корявый, но в целом неплохо.']","Книга с интересным сюжетом, но мелкий шрифт, слабый переплёт и качество бумаги могут разочаровать."
12,"['Игрушка прикольная, но быстро сломалась.', 'Ребёнок доволен, но пластик хрупкий.', 'Мелкие детали – опасно для малышей.', 'Цвета яркие, выглядит красиво.', 'Заводится плохо, механизм заедает.']","Игрушка яркая и интересная, но пластик хрупкий, мелкие детали могут быть опасны, а механизм ненадёжный."
13,"['Сковорода удобная, ничего не пригорает, но ручка греется.', 'Тефлон начал царапаться через месяц, хотя пользуюсь бережно.', 'Легкая, хорошо моется, но дно чуть тонковато.', 'Хорошая антипригарка, но пришлось менять, так как покрытие начало отходить.', 'Не понравилось, что запах пластика держался после первого нагрева.']","Сковорода удобная и с хорошим антипригарным покрытием, но ручка греется, тефлон может быстро царапаться, а дно тонковато."
14,"['Куртка тёплая, ношу при -10, не мёрзну.', 'После первой стирки наполнитель сбился комками.', 'Молния тугая, иногда заедает, но в целом норм.', 'Очень лёгкая, приятная ткань, но рукава чуть коротковаты.', 'Цвет на фото был ярче, в реальности более тусклый.']","Куртка тёплая и лёгкая, но может терять форму после стирки, молния заедает, а рукава могут быть коротковаты."
15,"['Чехол стильный, но быстро пожелтел.', 'Плотно сидит, но снимается с трудом.', 'Боковины облезли через пару недель.', 'Красивый и приятный на ощупь, но не очень прочный.', 'Защищает телефон хорошо, но сам по себе хрупкий.']","Чехол стильный и защищает телефон, но быстро желтеет, облезает и трудно снимается."
16,"['Доставка быстрая, всё целое, но коробка была слегка помята.', 'Книга интересная, но бумага очень тонкая.', 'Обложка приятная, но краска начала стираться.', 'Читал с удовольствием, но шрифт мелковат.', 'Переплет слабый, боюсь, что быстро рассыпется.']","Книга с интересным содержанием, но тонкая бумага, слабый переплёт и стирающаяся краска могут разочаровать."
17,"['Плед мягкий и тёплый, но после стирки скатался.', 'Цвет приятный, но ожидала, что будет плотнее.', 'Немного линяет при стирке, но не критично.', 'Очень уютный, дети его обожают!', 'Запах был неприятный, пришлось постирать перед использованием.']","Плед мягкий и уютный, но может скатываться после стирки, линять и иметь специфический запах при покупке."
18,"['Фен мощный, волосы сушит быстро, но шумный.', 'Лёгкий, удобно держать в руке, но кнопки расположены неудачно.', 'Пластик кажется хрупким, но пока держится.', 'Хороший фен за свои деньги, но немного греется корпус.', 'Слабый холодный воздух, почти не ощущается.']","Фен мощный и удобный, но шумный, корпус может греться, а пластик кажется хрупким."
19,"['Кофеварка хорошая, но воду сложно заливать.', 'Эспрессо варит крепкий, но шумит сильно.', 'Компактная, не занимает много места, но короткий провод.', 'Дизайн красивый, но пластик кажется дешёвым.', 'Через пару недель подтекла, пришлось чинить.']","Кофеварка компактная и варит крепкий кофе, но шумная, короткий провод, возможны протечки."
20,"['Лампа светит хорошо, но пластик корпуса дешёвый.', 'Регулируется удобно, но ножка шатается.', 'Компактная, идеально для рабочего стола.', 'Свет приятный для глаз, но кнопка включения неудобная.', 'Провод короткий, пришлось использовать удлинитель.']","Лампа компактная и даёт хороший свет, но пластик дешёвый, ножка может шататься, а кнопка неудобная."
21,"['Сковорода удобная, но ручка быстро нагревается.', 'Блюда получаются вкусные, но мыть сложно.', 'После полугода использования покрытие начало облезать.', 'Тяжёлая, но это плюс – равномерно прогревается.', 'Жир не разбрызгивается, но запах от пластиковой ручки в начале был неприятный.']","Сковорода удобная и даёт хороший результат, но тяжёлая, покрытие может облезать, а ручка нагревается."
22,"['Часы красивые, но через неделю появились царапины.', 'Точность хода хорошая, но браслет неудобный.', 'Экран яркий, хорошо читается, но царапается легко.', 'Заряд держит день, ожидал дольше.', 'Уведомления работают нормально, но вибрация слабая.']","Часы стильные и точные, но экран и корпус легко царапаются, браслет неудобный, а батарея держит недолго."
23,"['Джинсы плотные, но сильно красятся.', 'Сели отлично, но после стирки подсели.', 'Ткань качественная, но пуговица слабая, оторвалась через неделю.', 'Понравился крой, но карманы маленькие.', 'После нескольких носок колени начали вытягиваться.']","Джинсы удобные и из плотной ткани, но красятся, могут садиться после стирки и вытягиваться на коленях."
