,User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
0,"[-0.08585548  0.20660125  0.02343356  0.08624326 -0.07547664 -0.20806523
  0.28547469  0.48064736 -0.23345393  0.0332002  -0.11035361 -0.32418513
 -0.02503758  0.04570283 -0.02971102 -0.31981125  0.04939438 -0.3827534
 -0.04080387 -0.40762556  0.18843442  0.0469517   0.04884855 -0.04910434
 -0.2965357   0.00790811 -0.02494568 -0.13578407 -0.23091878  0.03371198
  0.12559506  0.04785183  0.13063234 -0.10839894 -0.09770459  0.36782396
  0.12931274 -0.2408291  -0.14661391 -0.50641555 -0.05618972 -0.18349247
 -0.16725831 -0.0246129   0.27094969 -0.0992369   0.13108899 -0.01333412
 -0.01477179  0.07539418  0.12087899 -0.12309951 -0.15897787  0.107146
 -0.19526131  0.07374398  0.10199645 -0.12915786 -0.19605291 -0.12177008
  0.13176925  0.07792175  0.08286098 -0.20167744 -0.32031032  0.21456043
  0.1277606   0.38726744 -0.45830116  0.28439304 -0.11585057  0.11257146
  0.14993602  0.04613836  0.23891427  0.13535382 -0.1136774   0.02054276
 -0.1496978   0.08627233 -0.09286499 -0.07535138 -0.21887408  0.33617973
  0.02688725  0.07300105  0.05301085  0.23321958  0.23412497  0.08647593
  0.22662123  0.09041306 -0.00689986  0.04667709  0.45564437  0.12552403
  0.09930743 -0.10429341  0.05117454 -0.19415711]",2024-10-09,5,54,0,0,0
1,"[-0.09014589  0.23172413  0.02707928  0.09392069 -0.08178919 -0.22995155
  0.31586352  0.52629864 -0.2518315   0.03255042 -0.11937475 -0.35964191
 -0.02701752  0.05120388 -0.03378869 -0.35357857  0.05937387 -0.41583028
 -0.0469139  -0.44574028  0.20953478  0.05014871  0.0483911  -0.05409935
 -0.31732544  0.01412073 -0.02970968 -0.14691238 -0.25113016  0.02679146
  0.13012967  0.05777905  0.14099722 -0.12202714 -0.10668785  0.39723307
  0.14573905 -0.26971716 -0.16165681 -0.55696291 -0.06940681 -0.19609053
 -0.18073954 -0.03094143  0.29725575 -0.11022711  0.14661837 -0.0161107
 -0.01747602  0.08429366  0.12754433 -0.13570163 -0.1783002   0.11573225
 -0.21467198  0.07601827  0.10707273 -0.13628046 -0.21070896 -0.12591857
  0.14152361  0.08586425  0.09241179 -0.21737327 -0.35265219  0.23269479
  0.13873193  0.42726576 -0.50170702  0.31716749 -0.1233272   0.13140622
  0.16322282  0.04865666  0.25898057  0.1480888  -0.12423612  0.01734874
 -0.1652651   0.09487037 -0.10829803 -0.08320111 -0.2413978   0.37139389
  0.0274519   0.08528434  0.06513035  0.24730839  0.25859585  0.0963982
  0.23929279  0.09966827 -0.00075803  0.05530501  0.50512666  0.13864994
  0.11103722 -0.11598834  0.05419715 -0.21394548]",2024-10-09,5,195,0,0,0
2,"[-0.04612122  0.11718315  0.01649446  0.0543787  -0.04682762 -0.11455945
  0.16421551  0.26186103 -0.12791742  0.0077784  -0.05633827 -0.17677437
 -0.01455435  0.02314905 -0.02153941 -0.17986938  0.02756198 -0.20791267
 -0.02217137 -0.21976006  0.1012333   0.02699396  0.02001366 -0.03488816
 -0.15890279  0.0110115  -0.01287007 -0.07792283 -0.1284012   0.00683488
  0.06537254  0.0343569   0.06823898 -0.0600824  -0.05559168  0.19915773
  0.07325562 -0.13573508 -0.07736397 -0.28328517 -0.03767274 -0.1043028
 -0.0996253  -0.01990337  0.156551   -0.05401017  0.07758927 -0.01196121
 -0.01267538  0.04589195  0.05726627 -0.06589441 -0.09850469  0.05725837
 -0.10803373  0.04032636  0.04778107 -0.06978061 -0.10344173 -0.0628664
  0.07948086  0.04839541  0.05068124 -0.11452334 -0.18453196  0.11484912
  0.06188759  0.21497148 -0.25196555  0.15624359 -0.06384127  0.06864992
  0.08465376  0.03025642  0.13393834  0.07961191 -0.06639045  0.0082254
 -0.08501514  0.05016945 -0.04930999 -0.05125371 -0.1179207   0.1923787
  0.01155861  0.03594216  0.02947016  0.12095142  0.12899527  0.04538331
  0.12178879  0.05101948  0.00183987  0.03193401  0.25821027  0.0684602
  0.05426865 -0.05874252  0.02240361 -0.10744518]",2024-10-09,5,17,0,0,0
3,"[-0.12741375  0.31738162  0.03834668  0.12713449 -0.11446682 -0.31997767
  0.43921936  0.74223328 -0.35095462  0.04573517 -0.16805294 -0.4989593
 -0.04214757  0.0749445  -0.04612506 -0.49602044  0.07992997 -0.5784471
 -0.07202972 -0.62037504  0.29171428  0.07107403  0.06972917 -0.07954004
 -0.44287449  0.01683128 -0.0423338  -0.20709485 -0.35147583  0.03733383
  0.17942798  0.0795916   0.20002735 -0.16984871 -0.14741516  0.54972953
  0.19809476 -0.38069186 -0.23021156 -0.77612758 -0.09829175 -0.27045798
 -0.25757468 -0.04375121  0.41689298 -0.15206768  0.20290723 -0.0233162
 -0.02707149  0.12287618  0.17961276 -0.18961897 -0.24882984  0.15877578
 -0.2979731   0.10533169  0.1453577  -0.19097452 -0.29248789 -0.17098804
  0.19928171  0.11836112  0.12889417 -0.30853772 -0.48593873  0.32702249
  0.19533592  0.59299111 -0.69995582  0.44182792 -0.17061377  0.17637001
  0.22559616  0.0632569   0.36430651  0.20662968 -0.16665801  0.02202426
 -0.22766572  0.12959744 -0.151537   -0.11324146 -0.33461779  0.5140239
  0.03877801  0.11425777  0.0961863   0.34208789  0.35322037  0.13726726
  0.33927011  0.13773644  0.00145124  0.07046553  0.7085833   0.19499034
  0.15640461 -0.16380316  0.07598917 -0.29539683]",2024-10-09,5,33,0,0,0
4,"[-0.07455595  0.20783949  0.02374218  0.08392768 -0.07091277 -0.20530823
  0.285487    0.47895747 -0.22692482  0.02919843 -0.10612445 -0.32494336
 -0.02999718  0.04918765 -0.02852668 -0.31347352  0.05695262 -0.37214226
 -0.04042941 -0.40670931  0.18581714  0.0493283   0.05394723 -0.05130737
 -0.28784758  0.01333423 -0.02302958 -0.13112104 -0.22748996  0.0280818
  0.12662739  0.04965787  0.13376452 -0.10936713 -0.10155202  0.36088955
  0.13161285 -0.25047636 -0.14605702 -0.50956255 -0.06116232 -0.17631844
 -0.16196316 -0.02744891  0.27356702 -0.08894336  0.12831672 -0.02534433
 -0.01519409  0.07029027  0.1140411  -0.12218435 -0.16601264  0.10773695
 -0.19819668  0.06118657  0.09859116 -0.12455724 -0.18985328 -0.1165252
  0.12868777  0.07808989  0.08118352 -0.192672   -0.32019335  0.21582898
  0.11929864  0.37969059 -0.45286041  0.2804566  -0.11871857  0.11494805
  0.14064175  0.05294467  0.23593093  0.12864946 -0.11247701  0.01605705
 -0.15279801  0.08957314 -0.09033282 -0.07565254 -0.21438667  0.33453822
  0.02853687  0.075407    0.06348791  0.22195156  0.22454333  0.08542693
  0.21909857  0.0857503  -0.00211179  0.04281264  0.45864674  0.12435246
  0.10542455 -0.1094711   0.05127686 -0.19355822]",2024-10-09,5,15,0,0,0
5,"[-0.05613559  0.15481228  0.01935613  0.0641786  -0.05560128 -0.15244767
  0.20956008  0.35007459 -0.16740066  0.02202959 -0.07726526 -0.24349821
 -0.0207014   0.03371658 -0.02303958 -0.23538591  0.03425035 -0.28150997
 -0.02646693 -0.29513657  0.13712329  0.03567122  0.03380564 -0.04019875
 -0.2147679   0.00328849 -0.01434499 -0.10101308 -0.16886216  0.01759632
  0.09014105  0.03996609  0.09624486 -0.08451157 -0.06957164  0.26675123
  0.09622453 -0.18427318 -0.1097749  -0.37769404 -0.04573371 -0.13264702
 -0.12454766 -0.02153459  0.19871375 -0.07220916  0.09659024 -0.01250204
 -0.0103217   0.05520057  0.09072965 -0.09158365 -0.12401735  0.0798104
 -0.14205436  0.05503573  0.07655851 -0.08908936 -0.14417014 -0.08337971
  0.09605211  0.06565662  0.06212987 -0.15167236 -0.2369172   0.15531385
  0.09211111  0.28142199 -0.33904013  0.20947918 -0.08273243  0.08586773
  0.10898317  0.03659006  0.1807234   0.09809147 -0.08164309  0.00783925
 -0.11367288  0.06707275 -0.07117423 -0.05786653 -0.16435599  0.25076735
  0.01706404  0.05543203  0.04257904  0.16904254  0.17848442  0.06745043
  0.16251531  0.06766698  0.00308477  0.03257915  0.3366881   0.08923984
  0.07553874 -0.07286208  0.03844392 -0.14626563]",2024-10-08,5,24,0,0,0
6,"[-0.07409591  0.19511136  0.02577102  0.08259238 -0.06636678 -0.19024792
  0.26422766  0.44245037 -0.21007583  0.02629351 -0.09884778 -0.30064231
 -0.02181633  0.04435492 -0.02359097 -0.29257265  0.04585168 -0.34880704
 -0.04014426 -0.37124184  0.17476434  0.04372377  0.04263942 -0.04653841
 -0.26145872  0.00758893 -0.020602   -0.12681228 -0.20944777  0.02171103
  0.1086584   0.04678157  0.12201162 -0.10270669 -0.08867367  0.33736861
  0.12319595 -0.22790974 -0.13394237 -0.46912313 -0.05967149 -0.16157082
 -0.15556821 -0.0220915   0.24828982 -0.09030165  0.12203065 -0.00983838
 -0.01661938  0.06841245  0.10664149 -0.10934417 -0.14965522  0.09944981
 -0.17901397  0.06138559  0.09065408 -0.11239737 -0.17346695 -0.10482711
  0.11560287  0.07671355  0.07538582 -0.18354633 -0.29567683  0.19284721
  0.11456109  0.35576794 -0.42060223  0.26541013 -0.10679013  0.11074578
  0.13236952  0.04136735  0.22048216  0.12272046 -0.10163682  0.00897061
 -0.13938215  0.07902204 -0.08811007 -0.06745511 -0.19452347  0.30724579
  0.02403127  0.07028811  0.05243939  0.20446278  0.21437402  0.082395
  0.19934282  0.08277968  0.00053336  0.04408649  0.42398542  0.11380202
  0.09273326 -0.0966577   0.04615636 -0.1794982 ]",2024-10-08,2,98,0,0,0
7,"[-0.0680465   0.17077033  0.02050513  0.07515436 -0.06078234 -0.17387508
  0.23130722  0.39524737 -0.19048035  0.02154168 -0.0876056  -0.27420542
 -0.02262526  0.03916325 -0.02606682 -0.25879261  0.04780436 -0.31653813
 -0.02962819 -0.33451405  0.15608849  0.04357899  0.03653558 -0.04183544
 -0.23660374  0.01034711 -0.02002797 -0.10202668 -0.18877096  0.02130567
  0.10620771  0.03850314  0.10762192 -0.09170786 -0.08781666  0.29735872
  0.11556206 -0.20399828 -0.11900391 -0.41834173 -0.05234366 -0.14608268
 -0.14255035 -0.0224012   0.22696979 -0.08004227  0.10978872 -0.01542232
 -0.01201128  0.0616735   0.09641125 -0.09606662 -0.13761096  0.09156117
 -0.16107099  0.05068688  0.07917809 -0.10260332 -0.1520346  -0.09164
  0.1055485   0.06700835  0.07119492 -0.16267323 -0.26250058  0.17220663
  0.10000824  0.31008032 -0.37263608  0.2350992  -0.09871497  0.09695762
  0.11916374  0.03878887  0.1954969   0.1086018  -0.09698348  0.0120415
 -0.12188452  0.07114118 -0.07963768 -0.06117089 -0.17677045  0.27938434
  0.0250985   0.05991911  0.04702386  0.18932736  0.18993779  0.07517216
  0.17644654  0.07831144  0.00334429  0.04206715  0.38223231  0.10364982
  0.08372625 -0.08303452  0.04804593 -0.16129144]",2024-10-08,5,26,0,0,0
8,"[-0.06981916  0.18078287  0.02029464  0.0754805  -0.06539678 -0.18547471
  0.24724391  0.41688174 -0.19746384  0.02518232 -0.09447196 -0.28524005
 -0.02247533  0.04227535 -0.02602454 -0.27578667  0.05151635 -0.33331427
 -0.03453698 -0.35289112  0.16453932  0.04442445  0.03866385 -0.04658055
 -0.25459096  0.01081477 -0.02600337 -0.11547131 -0.19789417  0.02354515
  0.10875069  0.04207955  0.1135253  -0.09879293 -0.08827771  0.3150045
  0.11419172 -0.21253091 -0.12724005 -0.44197309 -0.05386955 -0.15335605
 -0.14532869 -0.02462187  0.23657404 -0.08419985  0.11264936 -0.01663155
 -0.01295309  0.06896581  0.09929909 -0.10513053 -0.14098378  0.09376648
 -0.16964245  0.06270879  0.08607439 -0.10734738 -0.16441672 -0.10241434
  0.10978722  0.06924883  0.07209269 -0.17303717 -0.27917331  0.18541023
  0.10760717  0.33309188 -0.39599451  0.24934271 -0.09852822  0.10308433
  0.1276948   0.03757454  0.20669834  0.11392239 -0.09838121  0.0127274
 -0.1337152   0.07360642 -0.08543802 -0.06280717 -0.18716441  0.29522821
  0.02598671  0.06378415  0.04832767  0.19758783  0.20355088  0.07815202
  0.19077401  0.07778528 -0.00089858  0.04050371  0.39828634  0.10846078
  0.09030478 -0.09019022  0.04693086 -0.16810806]",2024-10-08,5,83,0,0,0
9,"[-0.08476014  0.2142674   0.02546513  0.08603625 -0.07637294 -0.21100701
  0.29012656  0.48676106 -0.23272277  0.02765411 -0.10892283 -0.33125725
 -0.02625726  0.04596776 -0.02902451 -0.32550398  0.05276719 -0.38449532
 -0.04561848 -0.41119394  0.18947923  0.04765501  0.04507264 -0.05131961
 -0.29260489  0.01269972 -0.02713808 -0.13868873 -0.23228058  0.02587841
  0.12015673  0.05072952  0.13207887 -0.11301017 -0.0993688   0.36703497
  0.13490437 -0.24952589 -0.14821048 -0.51575959 -0.06303211 -0.18086831
 -0.16925217 -0.02712237  0.27400765 -0.10265163  0.13331637 -0.01654222
 -0.0149767   0.07944811  0.11665957 -0.12485857 -0.16389968  0.10602178
 -0.19601056  0.0713793   0.09926193 -0.12571099 -0.1920841  -0.1175134
  0.13295643  0.07966181  0.08381379 -0.2021699  -0.32390866  0.21580088
  0.12776013  0.39245826 -0.46197057  0.28867146 -0.11563365  0.12026281
  0.1496578   0.04696664  0.24000038  0.13700783 -0.11481936  0.01329459
 -0.15320465  0.08665045 -0.0992492  -0.077713   -0.21883008  0.34038743
  0.02718518  0.07544626  0.05884818  0.22739543  0.23489837  0.08761287
  0.22225654  0.09286936 -0.0006531   0.04928031  0.46838906  0.12783416
  0.10347523 -0.10784298  0.05080506 -0.19795254]",2024-10-08,5,323,1,0,0
