,Unnamed: 0,User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
0,0,"[3, 3, 3, 3, 3]",2024-10-09,5,54,0,0,0
1,1,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4283, 3, 3, 3, 3, 3818, 3, 3, 3, 3, 3, 3, 3]",2024-10-09,5,195,0,0,0
2,2,"[3, 3]",2024-10-09,5,17,0,0,0
3,3,"[3, 3, 3, 3, 3, 3]",2024-10-09,5,33,0,0,0
4,4,"[3, 3]",2024-10-09,5,15,0,0,0
5,5,"[3, 3, 3, 3]",2024-10-08,5,24,0,0,0
6,6,"[3, 3, 3, 3, 3, 3, 3, 4429, 3, 3, 3, 3, 3, 3]",2024-10-08,2,98,0,0,0
7,7,"[3, 3, 3]",2024-10-08,5,26,0,0,0
8,8,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-08,5,83,0,0,0
9,9,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-08,5,323,1,0,0
10,10,[3],2024-10-08,5,12,0,0,0
11,11,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 16218, 3, 3, 3, 3]",2024-10-08,3,118,0,0,0
12,12,"[3, 3, 3, 3]",2024-10-08,5,30,0,0,0
13,13,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-08,5,65,0,0,0
14,14,"[3, 3]",2024-10-07,5,13,0,0,0
15,15,"[3, 3, 3, 3, 3, 12, 3, 3, 3, 3]",2024-10-07,5,74,0,0,0
16,16,[3],2024-10-07,5,20,0,0,0
17,17,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 328]",2024-10-07,5,83,0,0,0
18,18,"[3, 3]",2024-10-07,5,15,0,0,0
19,19,"[3, 3, 3]",2024-10-07,5,24,0,0,0
20,20,"[3, 328, 3, 3, 3, 3, 3, 3, 328, 3, 3, 3, 3, 3, 3, 328]",2024-10-06,5,101,0,0,0
21,21,[3],2024-10-06,5,4,0,0,0
22,22,"[3, 3, 3, 3, 3]",2024-10-06,4,38,0,0,0
23,23,"[3, 3, 3]",2024-10-06,5,33,0,0,0
24,24,"[3, 3, 3, 3, 3, 4283, 3, 3, 1096, 3, 3, 3, 3, 3]",2024-10-06,5,109,0,0,0
25,25,"[3, 3, 3]",2024-10-05,5,19,0,0,0
26,26,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-05,5,138,1,0,0
27,27,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-05,4,234,0,0,0
28,28,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-04,5,118,0,0,0
29,29,"[3, 3, 328, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-04,5,239,0,0,0
30,30,"[3, 3, 328, 328, 328, 3, 3, 3, 3, 3, 3, 328, 3, 12, 3, 328, 3, 3, 328]",2024-10-04,5,90,0,0,0
31,31,"[3, 3, 3, 3, 3, 3]",2024-10-04,5,46,0,0,0
32,32,"[3, 3, 3, 3, 3, 3, 3, 3, 4283, 3, 3, 3, 3, 3, 3]",2024-10-04,5,109,0,0,0
33,33,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-03,5,128,1,0,0
34,34,[3],2024-10-03,5,7,0,0,0
35,35,"[3, 3, 3, 3]",2024-10-03,5,33,0,0,0
36,36,"[3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-03,5,72,0,0,0
37,37,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-03,5,126,0,0,0
38,38,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 734, 3, 3]",2024-10-04,5,374,0,0,0
39,39,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 328, 3, 3, 3, 12, 3]",2024-10-09,5,236,1,0,0
40,40,"[3, 3, 3, 3, 3, 3, 3]",2024-10-02,5,50,1,0,0
41,41,"[3, 3, 3]",2024-10-02,5,22,0,0,0
42,42,"[3, 3, 3, 3, 3, 3, 3]",2024-10-01,5,53,0,0,0
43,43,"[3, 3, 3, 3, 3, 3]",2024-10-01,5,36,0,0,0
44,44,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 734, 3, 3]",2024-10-01,1,373,0,0,0
45,45,"[3, 3]",2024-09-30,5,15,0,0,0
46,46,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1096, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-30,5,217,0,0,0
47,47,"[3, 3]",2024-09-30,5,24,0,0,0
48,48,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-30,5,145,1,0,0
49,49,"[3, 3, 3, 3, 3, 3]",2024-09-29,5,46,0,0,0
50,50,"[3, 3]",2024-09-29,5,14,0,0,0
51,51,"[3, 3305, 3, 3714, 3, 3305, 3, 3]",2024-09-29,5,44,0,0,0
52,52,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-29,5,69,0,0,0
53,53,"[3, 3]",2024-09-28,5,20,0,0,0
54,54,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-28,5,75,0,0,0
55,55,"[3, 3, 3, 12, 698, 3, 3, 3, 3, 3, 3]",2024-09-28,5,90,0,0,0
56,56,"[3, 3, 3, 3]",2024-09-28,5,35,0,0,0
57,57,[3],2024-09-27,5,7,0,0,0
58,58,"[3, 3, 3, 328]",2024-09-27,5,25,0,0,0
59,59,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 328]",2024-09-27,5,105,0,0,0
60,60,"[3, 3, 3, 3, 3, 3]",2024-09-27,5,46,0,0,0
61,61,"[3, 3, 1096, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-27,5,215,0,0,0
62,62,[],2024-09-26,5,1,0,0,0
63,63,"[3, 3, 3, 3, 3, 3, 3]",2024-09-26,5,51,1,0,0
64,64,"[3, 3, 3, 3, 3, 3, 3]",2024-09-26,5,46,0,0,0
65,65,"[3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-26,5,64,0,0,0
66,66,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-26,5,80,0,0,0
67,67,"[3, 3, 3, 3, 3, 3]",2024-09-25,5,49,0,0,0
68,68,"[3, 3]",2024-09-25,5,15,0,0,0
69,69,"[3, 3, 3, 3, 3, 3, 3, 3]",2024-09-24,4,53,0,0,0
70,70,"[3, 3]",2024-09-24,5,18,0,0,0
71,71,[3],2024-09-23,5,5,1,0,0
72,72,"[3, 3, 3, 3, 3, 3, 3]",2024-09-22,5,53,0,0,0
73,73,"[3, 3, 3, 3]",2024-09-21,5,38,0,0,0
74,74,"[3, 3, 328, 328, 328, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-21,5,142,0,0,0
75,75,"[3, 3, 3]",2024-09-19,5,30,0,0,0
76,76,"[3, 3, 3, 3]",2024-09-19,5,35,0,0,0
77,77,"[3, 3]",2024-09-18,5,12,0,0,0
78,78,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3714, 3, 3, 3761, 3, 3]",2024-09-17,5,130,0,0,0
79,79,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-16,5,225,0,0,0
80,80,"[3, 43796, 3]",2024-09-15,5,17,0,0,0
81,81,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-17,3,143,1,0,0
82,82,"[3, 3, 328]",2024-09-15,5,12,0,0,0
83,83,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-14,5,111,0,0,0
84,84,"[3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-13,5,72,0,0,0
85,85,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-13,5,130,0,0,0
86,86,"[3, 3, 3, 3, 3]",2024-09-13,5,52,0,0,0
87,87,"[3, 3, 3]",2024-09-12,5,28,0,0,0
88,88,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-09-12,5,86,0,0,0
89,89,"[3, 3, 3, 3, 3]",2024-09-12,5,49,0,0,0
90,90,"[3, 3]",2024-09-12,5,14,0,0,0
91,91,[3],2024-09-12,5,5,0,0,0
92,92,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3170, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-05-29,5,272,1,0,0
93,93,[3],2024-10-10,5,1,0,0,0
94,94,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 3, 3, 3]",2024-10-09,5,126,0,0,0
95,95,"[3, 3, 3, 3, 3]",2024-10-09,5,34,0,0,0
96,96,"[3, 3]",2024-10-07,5,20,0,0,0
97,97,"[3, 3]",2024-10-07,5,14,0,0,0
98,98,"[3, 3, 3, 3, 3, 3, 3, 3, 3]",2024-10-05,1,60,0,0,0
99,99,[3],2024-10-05,5,6,0,0,0
100,100,[3],2024-10-05,5,10,0,0,0
101,101,"[3, 3, 3, 3]",2024-10-03,3,28,0,0,0
102,102,"[3, 3]",2024-10-01,5,13,0,0,0
103,103,[3],2024-10-01,5,7,0,0,0
104,104,"[3, 3, 3, 3, 134, 3, 3, 1866, 3, 3]",2024-09-29,5,56,0,0,0
105,105,"[3, 3]",2024-09-29,5,17,0,0,0
106,106,[3],2024-09-28,5,2,0,0,0
107,107,[3],2024-09-27,5,13,0,0,0
108,108,"[3, 3, 3]",2024-09-27,5,26,0,0,0
109,109,[3],2024-09-27,5,7,0,0,0
110,110,[3],2024-09-25,5,2,0,0,0
111,111,[3],2024-09-25,5,2,0,0,0
112,112,"[3, 3]",2024-09-25,5,15,0,0,0
