,Reviews,Summary
0,"[3, 6652, 10338, 5345, 5345, 16811, 23110, 3, 3700, 5814, 2044, 2, 7184, 2, 1757, 6, 3, 9890, 3, 2, 10458, 10338, 3, 2, 18632, 16624, 14601, 5345, 2, 5, 3, 6588, 2, 23110, 1757, 6, 3, 9890, 3, 29577, 6588, 2, 23110, 1757, 3, 8194, 3, 21025, 6652, 10338, 6469, 3, 2533, 5345, 2, 22141, 2, 14982, 5, 3, 7948, 2, 6469, 1]","[3, 2, 10338, 5345, 5345, 16811, 23110, 3, 3700, 5814, 2044, 2, 7184, 2, 1757, 3, 2795, 3, 6588, 2, 23110, 1757, 6, 3, 9890, 3, 14142, 3, 2044, 2, 22123, 2, 3, 5814, 17674, 2, 16811, 1757, 2, 7184, 2, 1757, 5, 3, 2, 2533, 3, 21025, 6652, 10338, 6469, 3, 2533, 5345, 2, 22141, 2, 14982, 3, 21025, 2, 3700, 6725, 1]"
1,"[3, 14982, 19229, 2, 25752, 3, 2, 10458, 8452, 2, 6, 3, 2, 2533, 15517, 13400, 2, 3, 5814, 17657, 2, 22682, 3, 5814, 17674, 2, 2044, 5, 3, 2, 18737, 19229, 3, 2044, 2, 31545, 6588, 21302, 2, 3, 8194, 2, 22141, 3, 9592, 8452, 21025, 2, 22682, 2, 5, 3, 12095, 25157, 7948, 3, 17059, 14601, 2, 8194, 2, 3, 5814, 1]","[3, 2, 1757, 19229, 2, 25752, 3, 2, 2044, 10338, 2, 2795, 2, 3, 2, 2533, 12681, 19414, 2, 3, 2, 22123, 3700, 5, 3, 2, 2533, 25157, 7948, 3, 2, 2044, 10338, 2, 2533, 2, 3, 5814, 7184, 2, 6469, 6, 3, 2, 2533, 15517, 13400, 2, 3, 5814, 17657, 2, 22682, 3, 5814, 17674, 2, 2044, 6, 3, 9890, 3, 5814, 1]"
2,"[3, 2, 2533, 2, 14391, 6652, 3, 6652, 7948, 26798, 6609, 2, 6, 3, 9890, 3, 2, 3700, 6469, 7184, 2, 5, 3, 2, 2533, 2, 14142, 6725, 3, 2, 17148, 10458, 2795, 12377, 6469, 3, 20000, 2, 1757, 3, 2, 18737, 19229, 3, 14142, 19473, 14601, 5, 3, 23110, 2, 18352, 6725, 3, 2, 10458, 10338, 6, 3, 9890, 3, 14982, 2, 1]","[3, 2, 2533, 2, 14391, 6652, 3, 2, 10458, 10338, 3, 23110, 2, 18352, 6725, 8724, 17238, 3700, 3, 2795, 8724, 2, 6588, 2, 5814, 22682, 3, 10458, 2795, 6588, 2, 9890, 6, 3, 9890, 3, 2, 3700, 6469, 7184, 2, 6, 3, 21025, 2, 15042, 3, 2, 10338, 14982, 12095, 6725, 2, 6, 3, 2533, 3, 6652, 8452, 2, 12095, 3, 14142, 1]"
3,"[3, 12095, 2, 1757, 24832, 2044, 3, 9890, 8452, 6469, 6, 3, 9890, 3, 2, 18737, 19229, 3, 10458, 2795, 8452, 23110, 3, 6725, 12095, 7184, 2, 3, 10458, 2533, 17148, 3, 2, 10458, 12377, 2, 5, 3, 2, 6609, 15042, 3, 14142, 24697, 6609, 2, 2533, 20000, 15042, 12681, 3, 2, 2044, 9592, 6, 3, 2044, 2, 2795, 20000, 6588, 3, 5814, 1]","[3, 2, 3700, 6725, 2, 17674, 12095, 3, 2, 14709, 2, 6725, 8194, 2, 3, 6652, 3, 14982, 6588, 3700, 6, 3, 9890, 3, 21025, 2, 3700, 6725, 3, 2, 6725, 2, 3, 2, 10338, 2, 19229, 6469, 2, 12681, 3, 12095, 2, 1757, 24832, 2044, 6469, 3, 6725, 12095, 14391, 6, 3, 2, 6609, 1757, 9592, 6469, 3, 2795, 3, 7948, 2, 1]"
4,"[3, 14982, 19229, 2, 25752, 3, 6652, 7948, 26798, 6609, 2, 6, 3, 9890, 3, 12377, 8452, 2, 3700, 5345, 3, 20447, 8452, 23110, 2, 3, 104, 3, 18737, 15517, 2, 6725, 5345, 2, 3, 17059, 2, 1757, 2, 22581, 23110, 5, 3, 2, 10338, 2795, 2, 6609, 17238, 2795, 14982, 6588, 2, 31585, 2, 3, 2, 2044, 10338, 2, 2533, 2, 6, 1]","[3, 2, 1757, 19229, 2, 25752, 12681, 3, 2, 2044, 10338, 2, 1757, 2, 3, 12095, 25157, 10338, 2, 3, 2795, 3, 2, 10338, 2795, 2, 6609, 17238, 2795, 14982, 6588, 2, 31585, 2, 6, 3, 9890, 3, 2, 10458, 10338, 3, 8194, 2, 13400, 16624, 15042, 5345, 2, 6, 3, 2, 2533, 15517, 13400, 2, 12681, 17148, 2, 2533, 2, 6, 3, 1]"
5,"[3, 8452, 2, 6652, 2, 2533, 6652, 8724, 25157, 10458, 2795, 14982, 6588, 2, 7184, 2, 6, 3, 9890, 3, 6469, 17674, 14391, 2, 3, 2, 2533, 1757, 20000, 15042, 5, 3, 6725, 12095, 7184, 2, 3, 12095, 2, 1757, 24832, 31483, 2533, 2, 6, 3, 9890, 3, 6588, 2, 6469, 23110, 3, 2, 10458, 10338, 3, 8194, 2, 2533, 14601, 3, 2, 1]","[3, 2, 6652, 2, 2533, 6652, 3, 3700, 5814, 2044, 2, 7184, 2, 3, 2795, 8724, 25157, 10458, 2795, 14982, 6588, 2, 7184, 2, 6, 3, 9890, 3, 12095, 2, 1757, 24832, 2044, 3, 2, 3700, 8452, 14391, 6725, 3700, 8452, 2, 3, 2795, 8724, 17238, 18737, 9592, 2, 12377, 10458, 2, 3, 18737, 15517, 6609, 6588, 2, 6725, 3, 19414, 2, 10338, 1]"
6,"[3, 12377, 2, 1757, 20447, 2, 2795, 8194, 3, 16624, 14709, 6725, 8724, 25644, 5345, 7184, 2, 3, 12377, 2, 1757, 6, 3, 9890, 3, 2, 3700, 6469, 8194, 2, 5, 3, 14142, 3700, 5814, 2044, 2, 7184, 2, 3, 12377, 7184, 14982, 2, 14142, 8452, 3, 5814, 6588, 2, 8724, 17238, 2, 6, 12681, 21044, 2, 9890, 3, 8194, 14601, 16624, 6725, 1]","[3, 2, 2044, 2, 1757, 20447, 2, 2795, 8194, 3, 16624, 14709, 6725, 3, 2, 2044, 10338, 2, 2795, 2, 3, 12377, 2, 1757, 6, 3, 9890, 3, 2, 3700, 6469, 8194, 2, 6, 3, 21025, 2, 15042, 3, 2, 17238, 14982, 12095, 6725, 2, 6, 3, 2533, 3, 22420, 10458, 23912, 6652, 2, 2795, 2, 12681, 21044, 2, 8194, 2, 5, 1, 0]"
7,"[3, 2, 2533, 5345, 2, 3, 6652, 7948, 26798, 6609, 2, 1757, 6, 3, 9890, 3, 13400, 25157, 2, 2044, 6652, 3, 2, 10458, 23110, 2, 6, 3, 14142, 3700, 5814, 2044, 2, 9890, 3, 9890, 5345, 22682, 2, 5, 3, 2, 2533, 15517, 13400, 2, 3, 5814, 17657, 2, 22682, 8724, 22036, 2, 2044, 3, 5814, 22123, 2, 6, 3, 2, 14709, 1]","[3, 2, 2533, 5345, 2, 3, 10458, 2795, 6588, 2, 7184, 2, 1757, 3, 2795, 12681, 3, 2, 2044, 10338, 2, 2795, 6469, 3, 2, 6652, 7948, 9890, 6469, 6, 3, 9890, 3, 13400, 25157, 2, 2044, 6652, 3, 14142, 3700, 5814, 2044, 2, 7184, 2, 6, 3, 2, 2533, 15517, 13400, 2, 12681, 17148, 2, 2533, 2, 6, 3, 2533, 3, 2, 1]"
8,"[3, 12095, 10458, 8452, 2, 6588, 2, 3, 6725, 2, 17148, 2, 6, 3, 9890, 3, 2, 17059, 16811, 22682, 2, 8724, 3, 14142, 2, 3, 3700, 5814, 2044, 2, 9890, 5, 3, 2, 20447, 6588, 2, 3, 8194, 2, 2533, 17148, 3, 2044, 2, 19229, 2, 22581, 2, 3, 2, 1757, 13400, 2, 3, 2, 2533, 23912, 3, 14142, 19473, 6588, 2, 1]","[3, 2, 2533, 10458, 8452, 2, 6588, 2, 3, 3700, 5814, 2044, 2, 8194, 2, 3, 5814, 6588, 2, 3, 2, 17059, 16811, 23110, 6, 3, 9890, 3, 6725, 2, 17148, 2, 6, 3, 23912, 2, 23110, 3, 8194, 2, 13400, 16624, 2, 6725, 5345, 2, 6, 3, 2533, 3, 2, 20447, 6588, 2, 3, 21025, 2, 15042, 3, 2044, 2, 19229, 2, 1]"
9,"[3, 8194, 3700, 2, 14391, 23110, 3, 6652, 17148, 5345, 5345, 7184, 2, 1757, 6, 3, 9890, 3, 3700, 2, 2795, 3, 3700, 10458, 2533, 2, 6725, 3, 2, 1757, 13400, 2, 3, 2, 2533, 5345, 5, 3, 2, 2533, 5345, 3, 21025, 2, 7184, 2, 6, 3, 9890, 12681, 30051, 14391, 1757, 3, 2, 2533, 10458, 17059, 2, 12681, 17148, 2, 1757, 1]","[3, 2, 2533, 3700, 2, 14391, 23110, 12681, 3, 2, 2044, 10338, 2, 2795, 6469, 3, 2, 2533, 5345, 2044, 6469, 3, 2795, 3, 5814, 2795, 2, 2533, 2, 9890, 6469, 6, 3, 9890, 3, 21025, 2, 3700, 6725, 3, 20000, 6609, 22682, 2, 6, 3, 2, 6588, 2, 6725, 3700, 2, 3, 14142, 10458, 2533, 2, 2795, 6588, 2, 7184, 2, 6, 1]"
