User review,Review date,Star review,Text length,Has media,Has answer,Written by bot
"В прошлый раз пришли в плотных коробках, аккуратно стояли. Было очень удобно. \nВ этот раз в пакете пришли, совсем не плотном. Нужно думать как складывать чтобы не рассыпались. \nНа фото коробка с прошлого заказа",2024-09-26,4,210,1,1,0
"Взамен пласкового сита. Пропала горечь и запах пластмассы. Нужно чуть больше времени, пока просочится вода через пакет.",2024-09-04,5,119,1,1,0
"Все ок, кофе пью часто. Использовал около 6 пакетов уже, все ок, не порвались, все кофе очталось в пакетике, по разамеру в одну кофеварку вошел идевльно, во вторую приходится подгибать. Спасибо, Буду заказывть еще)",2024-08-08,5,214,1,1,0
"Функцию свою не выполняет . Заливаю кофе  кипятком , оставляю на 5 мин и достаю , и тут дно рвется и вся гуща в чашке . Почему так происходит я не пойму . Может мне брак попался !🙈😭",2024-09-16,1,181,1,1,0
"Радости вам! Не берите эти фильтр-пакеты, они не качественные, рвуться на дне, ни один не вылержал проверку, трата денег впустую.",2024-09-26,2,129,1,1,0
Фильтр который не фильтрует! Качество ужасное! На фото видно разница оригинальных фильтров и этого чуда.,2024-09-30,1,104,1,1,0
"Постоянно покупаю эти фильтры. Раньшкюе были в коробке. Теперь пришли в пакете, без опознавательных знаков... Больше не закажу.",2024-09-16,3,127,1,1,0
"Для тех кто не понимает как пользоваться такими фильтрами - ДОЛЖЕН БЫТЬ УПОР!!! Изначально они предназначены для кофе-машин, где внутрь машины вставляется такой фильтр. Его можно использовать и просто в чашке, но тогда рекомендую ставить в ситечко, как у меня на фото  - ситечко пропускает мелкие кофеинки, а этот фильтр нет, поэтому это отличный дуэт. В таком дуэте ни разу не порвалась. Покупала другой фирмы. думала все одинаковые, однако конкретно у этих фильтров для меня оказался один конкретный минус - скорость. Кофе очень долго просачивается, бумага слишком плотная (за это минус звезда).   Однако кофе без кофеинок и вкус не изменен, что я считаю хорошим результатом.",2024-07-08,4,677,1,1,0
Отличные пакет и по приятной цене) мы довольны,2024-09-20,5,46,1,1,0
Спасибо . Хорошо упаковна . Спасибо 🤝,2024-09-15,5,37,1,1,0
Качество стало хуже. Уже несколько фильтров прорвались.,2024-09-13,2,55,1,1,0
Фильтры понравились ❤️,2024-09-05,5,22,1,1,0
Фильтр в кофеварке капельного типа ужасно долго фильтрует кофе! Очень плотный фильтр.,2024-09-03,4,85,1,1,0
"Заказываю не в первый раз, раньше были в коробке, сейчас просто упакованы в вакум и сверху пакет. На качестве не отразилось, всë так же хорошие фильтры.",2024-08-18,5,152,1,1,0
"Все супер! Покупкой довольна, не хлипкие и не страшно, что неосветленные, без постороннего запаха. К кофеварке подошли.",2024-08-26,5,119,1,1,0
"Такие же фильтры, как и ранее покупала в картонной коробке. Подходят для старой капельной кофеварки, привкуса лишнего кофе не придают, плотные, не расползаются.",2024-07-09,5,160,1,1,0
"Какой-то кошмар!Рвутся.Все делала по инструкции,которая указана.Кофе пока проходит через фильтр уже весь ледяной!За один раз использовала несколько фильтров,потому что все порвались.В итоге все равно все плавает в кружке…",2024-08-30,1,221,1,1,0
